lscratch,291.68,73.29
lscratch,304.84,62.23
lscratch,304.84,62.23
lscratch,266.81,66.57
lscratch,291.47,56.88
lscratch,413.98,56.07
lscratch,396.34,58.18
lscratch,286.35,58.66
lscratch,239.80,55.64
lscratch,327.17,62.39
lscratch,305.48,60.45
lscratch,366.28,61.55
lscratch,348.35,61.56
lscratch,344.01,61.11
lscratch,384.58,61.25
lscratch,342.86,60.61
lscratch,396.66,61.44
lscratch,377.74,61.60
lscratch,348.29,62.14
lscratch,344.11,62.03
lscratch,321.71,61.29
lscratch,344.93,61.54
lscratch,394.69,61.94
lscratch,346.89,61.12
lscratch,316.81,60.06
lscratch,389.13,60.26
lscratch,322.71,61.08
lscratch,331.86,59.84
lscratch,414.06,62.21
lscratch,372.44,61.50
irisgpfs,167.29,57.27
irisgpfs,167.29,57.27
irisgpfs,169.22,57.16
irisgpfs,155.19,58.35
irisgpfs,168.64,57.29
irisgpfs,169.55,57.52
irisgpfs,170.00,58.23
irisgpfs,171.91,59.97
irisgpfs,167.13,56.82
irisgpfs,164.55,56.98
irisgpfs,168.79,58.42
irisgpfs,168.13,57.72
irisgpfs,167.94,57.71
irisgpfs,170.77,58.11
irisgpfs,171.04,58.50
irisgpfs,171.04,58.50
irisgpfs,169.64,58.62
irisgpfs,169.12,58.03
irisgpfs,168.01,58.32
irisgpfs,169.80,57.86
irisgpfs,169.72,58.30
irisgpfs,133.29,53.91
irisgpfs,168.38,58.47
irisgpfs,129.16,51.74
irisgpfs,131.53,51.89
irisgpfs,132.81,55.57
irisgpfs,129.73,52.47
irisgpfs,130.17,52.15
irisgpfs,130.07,52.84
irisgpfs,141.83,63.91
hybrid,171.48,61.14
hybrid,170.87,60.51
hybrid,170.58,61.61
hybrid,134.37,54.75
hybrid,130.59,55.16
hybrid,130.40,55.06
hybrid,132.07,55.24
hybrid,135.31,54.70
hybrid,135.48,55.30
hybrid,138.57,62.10
hybrid,168.58,60.62
hybrid,134.21,54.96
hybrid,133.66,55.21
hybrid,167.97,61.44
hybrid,134.27,54.82
hybrid,170.90,61.15
hybrid,134.93,54.90
hybrid,134.11,55.07
hybrid,133.96,54.44
hybrid,136.79,61.96
hybrid,136.09,54.77
hybrid,130.48,54.52
hybrid,137.75,62.67
hybrid,131.24,54.02
hybrid,132.37,54.37
hybrid,134.64,54.98
hybrid,132.60,54.52
hybrid,131.63,54.72
hybrid,131.85,54.96
hybrid,133.68,54.64
